machine_id,risque,temperature_C,vibration,pression_bar,age_ans,production_jour,panne,ville_Abomey-Calavi,ville_Cotonou,ville_Parakou,ville_Porto-Novo,type_machine_Compresseur,type_machine_Moteur,type_machine_Pompe,risque_encoded,temp_par_vibration,machine_ancienne
M0001,Faible,-0.05495204806630665,-0.39407516499323525,-0.4961250262698255,0.8373623698709991,-0.40782197273339216,0,True,False,False,False,True,False,False,0,0.13980035616661857,1
M0002,Moyen,-0.7198039876339619,-0.20991483021312687,-0.36632102366830555,0.20746590059490413,0.3562942835324574,0,False,True,False,False,False,True,False,1,3.445442273770826,1
M0003,Faible,0.7642405203295558,-0.05810698667817284,0.35687270511159874,1.2572933493883958,-0.4865478212907228,0,False,False,True,False,False,False,True,0,-13.382609813339359,1
M0004,Faible,0.17062271714414873,-0.3343474888483352,0.11580812885163119,-0.002499589163794205,0.6421378007775305,0,True,False,False,False,False,False,True,0,-0.511846415083624,0
M0005,Moyen,0.3605804141634783,0.357498093163423,0.023090984136257674,0.8373623698709991,-1.65803071673578,0,False,False,True,False,False,True,False,1,1.0058084576731794,1
M0006,Faible,-0.4111227299775509,0.2878158043277065,0.13435155779470526,-0.21246507892249253,0.34509302185852847,0,False,False,False,True,False,False,True,0,-1.423477260652496,0
M0007,Faible,0.7048787400110151,-0.05810698667817284,0.4681332787700447,0.8373623698709991,0.32078839747170157,0,False,False,True,False,False,False,True,0,-12.343126139422631,1
M0008,Moyen,0.6930063839473076,0.800478357904765,-0.8484501761882406,-1.0523270379572858,-0.045260380249900284,0,False,False,True,False,False,False,True,1,0.8646601335050067,0
M0009,Élevé,0.4674316187368523,0.7357733754144563,-1.590187333911219,0.20746590059490413,-1.0045533375699642,0,False,False,False,True,True,False,False,2,0.6344306598673011,1
M0010,Faible,-0.5773357148694639,-0.777327753589677,2.0628681678744454,1.4672588391470942,-0.2525893934975281,0,False,False,False,True,False,False,True,0,0.7436752224816259,1
M0011,Faible,0.7761128763932633,0.7805691325231316,0.5608504234854166,0.41743139035360244,-1.1312544012212924,0,False,False,True,False,False,True,False,0,0.9930188438836447,1
M0012,Moyen,-0.7435486997613786,-0.9067377185702936,0.11580812885163119,1.0473278596296975,0.47454156478836745,0,False,True,False,False,False,False,True,1,0.8209315837426642,1
M0013,Faible,-1.2659323665645366,0.7805691325231316,-1.0709713235051341,0.41743139035360244,-1.3771537966480152,0,False,False,True,False,False,False,True,0,-1.619731785565456,1
M0014,Faible,0.8710917249029297,-0.41896169672027683,0.13435155779470526,-0.21246507892249253,-0.10538790753731121,0,False,False,True,False,False,True,False,0,-2.08414247462947,0
M0015,Élevé,0.016282088315943213,0.21813351549199,1.4138481548668407,-1.6822235072333809,-0.7670020522587169,0,False,True,False,False,False,False,True,2,0.0743021362085453,0
M0016,Faible,-1.3252941468830775,0.04392779340269804,1.6363693021837342,1.6772243289057924,-1.600967685566708,0,False,False,False,True,False,True,False,0,-29.498313772149107,1
M0017,Faible,-0.5061015784872157,0.29279311067311475,0.3939595629977468,-0.002499589163794205,-0.1558992573499341,0,False,True,False,False,False,False,True,0,-1.7226461754929419,0
M0018,Moyen,0.1468780050167321,-0.881851186843252,1.1171532917776494,-1.4722580174746824,1.0574298609524424,0,False,False,True,False,False,True,False,1,-0.16674553796437028,0
M0019,Moyen,1.0254323537311354,0.8502514213588481,0.22706870251007713,-0.002499589163794205,0.6958193189884351,0,True,False,False,False,False,False,True,1,1.204617493729694,0
M0020,Élevé,-0.07869676019372158,0.3774073185450564,-0.9967976077328362,-0.6323960584398892,-0.5850343861973432,0,False,True,False,False,False,False,True,2,-0.20796838839244405,0
M0021,Moyen,-0.612952783060588,0.02899587436647314,-1.2193187550497298,-0.002499589163794205,-0.12197845548831915,0,False,False,False,True,True,False,False,1,-20.434569620204,0
M0022,Moyen,-0.8385275482710434,0.6860003119603731,-1.553100476025069,-1.6822235072333809,0.10479425726877022,0,True,False,False,False,False,False,True,1,-1.2205635625961848,0
M0023,Faible,-1.1115917377363302,-0.11534600965036856,-0.6815593157005709,-0.8423615481985876,0.7597510483537842,0,False,False,False,True,False,True,False,0,9.721298899150062,0
M0024,Faible,0.016282088315943213,1.1737763338103901,1.0800664338915014,-1.0523270379572858,-0.09756815882154951,0,False,False,False,True,False,False,True,0,0.013859734697865608,0
M0025,Faible,-0.5892080709331731,-0.05810698667817284,-0.36632102366830555,0.20746590059490413,0.9311514864208853,0,False,False,True,False,False,True,False,0,10.317617951962038,1
M0026,Moyen,0.6930063839473076,1.1687990274649813,1.9516075942159996,-0.6323960584398892,-0.18844631957229363,0,False,True,False,False,False,False,True,1,0.5924149086096357,0
M0027,Faible,-0.5179739345509232,-0.5185078236284436,1.1171532917776494,-0.8423615481985876,0.1371299749312443,0,False,True,False,False,True,False,False,0,1.000900683818095,0
M0028,Élevé,1.0966664901133836,0.07379163147514807,0.8390018576315338,-0.002499589163794205,-0.09682845286195042,0,True,False,False,False,False,False,True,2,14.662957184959742,0
M0029,Moyen,-0.06682440413001411,-1.1904441802585688,-0.9597107498466865,1.4672588391470942,-0.17375787266025475,0,False,True,False,False,False,False,True,1,0.056181202312064284,1
M0030,Faible,0.15875036108044124,0.05388240609351472,-0.16234330529448607,0.20746590059490413,0.059566521453283616,0,False,True,False,False,True,False,False,0,2.892554688836798,1
M0031,Faible,0.02815444437965068,-0.5433943553554852,0.78337157080231,1.0473278596296975,-0.17259547758088475,0,True,False,False,False,False,True,False,0,-0.051907701659613066,1
M0032,Moyen,-0.00746262381147341,-0.5881901124641603,-0.8669936051313146,-1.4722580174746824,1.3965322072886492,0,False,False,True,False,False,False,True,1,0.012709042017339654,0
M0033,Moyen,-0.05495204806630665,0.4520669137261816,0.8946321444607576,-1.6822235072333809,-1.3025491670084508,0,True,False,False,False,True,False,False,1,-0.121289033477112,0
M0034,Faible,-0.5179739345509232,-0.16014176675904349,1.1727835786068732,0.8373623698709991,1.1609886952963138,0,False,False,True,False,False,False,True,0,3.254795677461514,1
M0035,Moyen,-0.33988859359530105,0.5665449596705731,0.5608504234854166,-1.4722580174746824,0.6186785546302453,0,True,False,False,False,False,True,False,1,-0.5988751865448452,0
M0036,Faible,-0.09056911625743075,-0.7823050599350853,-1.4418399023666233,1.6772243289057924,0.21257998281035045,0,False,True,False,False,False,True,False,0,0.11592029912740573,1
M0037,Élevé,0.7286234521384317,-0.05810698667817284,0.319785847225449,-1.6822235072333809,0.8600340420194309,0,False,False,True,False,False,True,False,2,-12.758919608989327,0
M0038,Élevé,-0.7791657679525027,0.05388240609351472,-1.237862183992804,-0.8423615481985876,0.8542220666225809,0,False,True,False,False,True,False,False,2,-14.197004530465989,0
M0039,Faible,1.4528371720246278,-1.4990371736738852,1.5251087285252884,-0.4224305686811909,-0.5195175726328533,0,True,False,False,False,False,False,True,0,-0.9698271829006713,0
M0040,Faible,-0.755421055825086,-0.8071915916621271,-0.6259290288713472,-0.6323960584398892,-0.9562611056361386,0,False,False,True,False,False,True,False,0,0.9370242305152708,0
M0041,Moyen,-0.3873780178501343,-0.18005099214067685,0.11580812885163119,1.2572933493883958,1.8106618723841914,0,False,True,False,False,False,False,True,1,2.163506681637257,1
M0042,Élevé,0.21811214139898197,-1.3497179833116353,0.06017784202240741,-0.4224305686811909,0.6493235158136358,0,False,True,False,False,False,False,True,2,-0.16171812350527906,0
